rank,business_id,business_name,category,city,wilaya,cluster,rating,review_count,has_website,has_phone,has_social_media,electrical_related,industrial_related,electricity_meter_score,gas_meter_score,gas_detector_score,wholesale_score,business_quality_score,business_presence_score,prospect_score,prospect_level,best_product,reasons
28,B048,EURL ZOUAOUI TRAVAUX DE CONSTRUCTION,Road construction company,Setif,Setif,2,4.4,22.0,True,True,False,False,True,5,10,30,55,79.97583824289975,75,53.0,LOW,Gas leak detectors,industrial-related activity; significant customer review activity; has website; has phone contact
29,B032,Sarl 2aSYS Automation,Automation company,Setif,Setif,2,4.8,5.0,True,True,False,False,True,5,10,30,55,73.12947068393693,75,51.63,LOW,Gas leak detectors,industrial-related activity; high customer rating; has website; has phone contact
30,B033,Metaplast Industrie,Manufacturer,Setif,Setif,2,4.5,2.0,True,True,False,False,True,5,10,30,55,63.521851354989415,75,49.7,LOW,Gas leak detectors,industrial-related activity; high customer rating; has website; has phone contact
31,B039,Merouane courroie industrielle,Auto parts store,Setif,Setif,5,5.0,3.0,False,True,False,False,True,5,10,30,70,72.01523865789504,35,49.15,LOW,Gas leak detectors,moderate resale potential; industrial-related activity; high customer rating; has phone contact
32,B014,Moonlight,Electrical supply store,Setif,Setif,0,,0.0,False,False,False,True,False,70,0,35,60,30.0,0,49.0,LOW,Electricity meters,strong electricity-meter fit; moderate resale potential; electrical-related activity
33,B071,Kledarc,Construction company,Setif,Setif,7,,0.0,True,True,True,False,True,5,10,30,55,30.0,100,46.75,LOW,Gas leak detectors,industrial-related activity; has website; has phone contact
34,B116,SIRIUS SERVICES - ABB PARTENER,Electrical installation service,Setif,Setif,4,4.3,3.0,False,True,False,True,False,70,0,20,0,63.615238657895034,35,45.97,LOW,Electricity meters,strong electricity-meter fit; electrical-related activity; has phone contact
35,B058,EURL CHERAITIA NOUREDDINE,Construction company,Setif,Setif,5,5.0,4.0,False,True,False,False,True,5,10,30,55,73.94926010327161,35,45.79,LOW,Gas leak detectors,industrial-related activity; high customer rating; has phone contact
36,B027,FAY CABLE,Corporate office,Setif,Setif,5,3.8,16.0,False,True,False,False,True,5,10,30,55,70.15592077145028,35,45.03,LOW,Gas leak detectors,industrial-related activity; has phone contact
37,B081,SARL PROSATI,Construction company,Setif,Setif,5,4.3,6.0,False,True,False,False,True,5,10,30,55,68.46551969296922,35,44.69,LOW,Gas leak detectors,industrial-related activity; has phone contact
38,B022,Dar Electronique,Store,Setif,Setif,4,4.4,19.0,False,True,False,True,False,20,0,20,60,78.76449876116665,35,44.0,LOW,Electricity meters,moderate resale potential; electrical-related activity; has phone contact
39,B046,EURL TISMAC,Tire shop,Setif,Setif,6,5.0,2.0,False,False,False,False,True,5,10,30,70,69.52185135498941,0,43.4,LOW,Gas leak detectors,moderate resale potential; industrial-related activity; high customer rating
40,B118,SARL HILLS INDUSTRIES,Construction company,Setif,Setif,7,,0.0,True,True,False,False,True,5,10,30,55,30.0,75,43.0,LOW,Gas leak detectors,industrial-related activity; has website; has phone contact
41,B004,SABIL ELEC,Machine maintenance service,Setif,Setif,4,5.0,1.0,False,True,False,True,True,25,10,50,10,66.00761932894751,35,40.95,LOW,Gas leak detectors,electrical-related activity; industrial-related activity; high customer rating; has phone contact
42,B067,"Department of urban planning, architecture and construction DUAC",Construction company,Setif,Setif,2,3.7,12.0,True,True,True,False,False,0,0,0,45,66.63083317630952,100,39.58,LOW,Electricity meters,has website; has phone contact
43,B053,Groupe SAFCER Fabrication des carreaux Céramiques et produits rouges,Construction company,Setif,Setif,2,4.8,23.0,True,True,False,False,False,0,0,0,45,85.14470934183197,75,39.53,LOW,Electricity meters,high customer rating; significant customer review activity; has website; has phone contact
44,B036,NOVASOLUTION montage maintenance industrielle,Construction company,Setif,Setif,6,5.0,1.0,False,False,False,False,True,5,10,30,55,66.00761932894751,0,38.95,LOW,Gas leak detectors,industrial-related activity; high customer rating
45,B077,Societé d'Etudes Techniques de Setif (SETS),Road construction company,Setif,Setif,2,4.2,30.0,True,True,False,False,False,0,0,0,45,80.16292551368068,75,38.53,LOW,Electricity meters,significant customer review activity; has website; has phone contact
46,B051,EMIVAR Setif,Construction company,Setif,Setif,2,4.2,12.0,True,True,False,False,False,0,0,0,45,72.63083317630954,75,37.03,LOW,Electricity meters,has website; has phone contact
47,B044,ZOMRA,Corporate office,Setif,Setif,2,4.5,6.0,True,True,False,False,False,0,0,0,45,70.86551969296922,75,36.67,LOW,Electricity meters,high customer rating; has website; has phone contact
48,B041,socoemod,Manufacturer,Setif,Setif,2,3.6,19.0,True,True,False,False,False,0,0,0,45,69.16449876116664,75,36.33,LOW,Electricity meters,has website; has phone contact
49,B057,REHAU SETIF,Construction company,Setif,Setif,2,5.0,1.0,True,True,False,False,False,0,0,0,45,66.00761932894751,75,35.7,LOW,Electricity meters,high customer rating; has website; has phone contact
50,B047,Maintenance industriel (bobinage),Machine shop,Ain Arnat,Setif,3,,0.0,False,False,False,False,True,5,10,30,70,30.0,0,35.5,LOW,Gas leak detectors,moderate resale potential; industrial-related activity
51,B042,Machine setif,Millwork shop,Setif,Setif,3,,0.0,False,False,False,False,True,5,10,30,70,30.0,0,35.5,LOW,Gas leak detectors,moderate resale potential; industrial-related activity
52,B088,SARL S.M.P.A,Mechanical contractor,Setif,Setif,5,5.0,2.0,False,True,False,False,True,5,10,30,10,69.52185135498941,35,33.65,LOW,Gas leak detectors,industrial-related activity; high customer rating; has phone contact
53,B026,K-PLAST Cables,Corporate office,Setif,Setif,5,4.5,35.0,False,True,False,False,False,0,0,0,45,85.05894136787386,35,33.51,LOW,Electricity meters,high customer rating; significant customer review activity; has phone contact
54,B110,Sarl Setif Forja,Metal fabricator,Setif,Setif,5,4.2,5.0,False,True,False,False,True,5,10,30,10,65.92947068393694,35,32.94,LOW,Gas leak detectors,industrial-related activity; has phone contact
55,B074,Groupe hamzi carrelage et monocouche setif,Construction company,Ain Arnat,Setif,5,4.6,12.0,False,True,False,False,False,0,0,0,45,77.43083317630953,35,31.99,LOW,Electricity meters,high customer rating; has phone contact
56,B045,"Dadi plastique s.a.r.l.,",Plastic fabrication company,Setif,Setif,5,5.0,6.0,False,True,False,False,False,0,0,0,45,76.86551969296922,35,31.87,LOW,Electricity meters,high customer rating; has phone contact
57,B111,SARL CYNABET & Sotrefil,Construction company,Setif,Setif,3,,0.0,False,False,False,False,True,5,10,30,55,30.0,0,31.75,LOW,Gas leak detectors,industrial-related activity
58,B106,Sarl Groupe Cmmc Sétif,Construction company,Ain Arnat,Setif,3,,0.0,False,False,False,False,True,5,10,30,55,30.0,0,31.75,LOW,Gas leak detectors,industrial-related activity
59,B115,Sarl setif gomme,Construction company,Setif,Setif,3,,0.0,False,False,False,False,True,5,10,30,55,30.0,0,31.75,LOW,Gas leak detectors,industrial-related activity
60,B078,DZ LINE distributeur officiel Sétif,Construction company,Setif,Setif,6,5.0,2.0,False,False,False,False,False,0,0,0,70,69.52185135498941,0,31.4,LOW,Electricity meters,moderate resale potential; high customer rating
61,B043,"SGT ALGERIE SPA UNITÉ DE PRÉFORME, SÉTIF",Manufacturer,Setif,Setif,5,5.0,4.0,False,True,False,False,False,0,0,0,45,73.94926010327161,35,31.29,LOW,Electricity meters,high customer rating; has phone contact
62,B008,SETIFLEX,Hydraulic repair service,Setif,Setif,5,4.0,2.0,False,True,False,False,True,5,10,30,10,57.521851354989415,35,31.25,LOW,Gas leak detectors,industrial-related activity; has phone contact
63,B040,URBASE,Zone Industrielle de Sétif,Setif,Setif,5,4.0,2.0,False,True,False,False,True,5,10,30,10,57.521851354989415,35,31.25,LOW,Gas leak detectors,industrial-related activity; has phone contact
64,B054,Meriane Etanche,Construction company,Setif,Setif,5,5.0,3.0,False,True,False,False,False,0,0,0,45,72.01523865789504,35,30.9,LOW,Electricity meters,high customer rating; has phone contact
65,B096,Damani Design,Construction company,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
66,B073,SNC-MIBC,Road construction company,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
67,B065,Snc El Assira Kheloufi et Cie,Construction company,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
68,B012,Groupe Riadh El Feth,Corporate office,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
69,B052,CERA HOUSE SETIF,Metal construction company,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
70,B070,مقاولة لعلى النوري,Construction company,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,45,69.52185135498941,35,30.4,LOW,Electricity meters,high customer rating; has phone contact
71,B068,Mono DZ,Construction company,Setif,Setif,1,1.0,1.0,True,True,True,False,False,0,0,0,45,18.00761932894752,100,29.85,LOW,Electricity meters,has website; has phone contact
72,B076,شركة مهنانة بلال للإستراد و التصدير,Construction company,Setif,Setif,5,5.0,1.0,False,True,False,False,False,0,0,0,45,66.00761932894751,35,29.7,LOW,Electricity meters,high customer rating; has phone contact
73,B080,Atelier Rf aluminium,Construction company,Setif,Setif,5,5.0,1.0,False,True,False,False,False,0,0,0,45,66.00761932894751,35,29.7,LOW,Electricity meters,high customer rating; has phone contact
74,B066,Ch Aménagement,Construction company,Setif,Setif,5,5.0,1.0,False,True,False,False,False,0,0,0,45,66.00761932894751,35,29.7,LOW,Electricity meters,high customer rating; has phone contact
75,B055,DIVINDUS DMC Sétif,Construction company,Setif,Setif,5,4.3,4.0,False,True,False,False,False,0,0,0,45,65.5492601032716,35,29.61,LOW,Electricity meters,has phone contact
76,B112,Promotion Immobilière Baghded - Setif,Real estate developer,Setif,Setif,2,5.0,3.0,True,True,True,False,False,0,0,0,0,72.01523865789504,100,29.4,LOW,Electricity meters,high customer rating; has website; has phone contact
77,B100,"Archi-Design Architecture, Interior Design & Finishing Company",Architectural designer,Setif,Setif,2,4.9,35.0,True,True,False,False,False,0,0,0,0,89.85894136787387,75,29.22,LOW,Electricity meters,high customer rating; significant customer review activity; has website; has phone contact
78,B037,National Company of Structural Steel and Biolermaking,Metal processing company,Setif,Setif,5,4.3,3.0,False,True,False,False,False,0,0,0,45,63.615238657895034,35,29.22,LOW,Electricity meters,has phone contact
79,B108,inhouse Sétif,Interior architect office,Setif,Setif,2,5.0,24.0,True,True,False,False,False,0,0,0,0,87.89852020654321,75,28.83,LOW,Electricity meters,high customer rating; significant customer review activity; has website; has phone contact
80,B035,EST PROFILAGE / DILMI AUTOMATISME,Automation company,Setif,Setif,5,4.0,1.0,False,True,False,False,False,0,0,0,45,54.00761932894752,35,27.3,LOW,Electricity meters,has phone contact
81,B113,GUEZZOUT IMMOBILIER,Real estate developer,Setif,Setif,2,5.0,7.0,True,True,False,False,False,0,0,0,0,78.02285798684255,75,26.85,LOW,Electricity meters,high customer rating; has website; has phone contact
82,B050,AMO,Construction company,Setif,Setif,6,5.0,4.0,False,False,False,False,False,0,0,0,45,73.94926010327161,0,26.04,LOW,Electricity meters,high customer rating
83,B062,فيلا تيتانيك,Construction company,Setif,Setif,6,4.1,16.0,False,False,False,False,False,0,0,0,45,73.75592077145028,0,26.0,LOW,Electricity meters,
84,B056,EPTR SUD-EST Unité de sétif,Construction company,Setif,Setif,6,5.0,2.0,False,False,False,False,False,0,0,0,45,69.52185135498941,0,25.15,LOW,Electricity meters,high customer rating
85,B075,"IRIS, unité de transformation de la tôle (UTT)",Construction company,Setif,Setif,6,5.0,1.0,False,False,False,False,False,0,0,0,45,66.00761932894751,0,24.45,LOW,Electricity meters,high customer rating
86,B109,cite 750 logts - sétif,Construction company,Setif,Setif,6,5.0,1.0,False,False,False,False,False,0,0,0,45,66.00761932894751,0,24.45,LOW,Electricity meters,high customer rating
87,B095,الديوان الوطني للمطبوعات المدرسية,Construction company,Setif,Setif,6,5.0,1.0,False,False,False,False,False,0,0,0,45,66.00761932894751,0,24.45,LOW,Electricity meters,high customer rating
88,B094,ISKEN - إسكان | Direction Générale,Real estate developer,Setif,Setif,2,5.0,1.0,True,True,False,False,False,0,0,0,0,66.00761932894751,75,24.45,LOW,Electricity meters,high customer rating; has website; has phone contact
