business_id,business_name,category,city,wilaya,rating,review_count,has_website,has_phone,has_social_media,social_platform_count,electrical_related,industrial_related,latitude,longitude
B102,Enpi SETIF,Building firm,Setif,Setif,3.0,2.0,False,True,False,0.0,False,False,36.1969335,5.4152005
B103,zone d'entrepôt et d'activité,Construction company,Setif,Setif,3.7,3.0,False,False,False,0.0,False,False,36.1799188,5.4227824
B104,Granitex Sétif,Painter,Setif,Setif,5.0,1.0,False,True,False,0.0,False,False,36.2066207,5.425381
B105,مؤسسة الترقية العقارية سعيدي عبد الحميد,Construction company,Setif,Setif,2.0,1.0,False,True,False,0.0,False,False,36.2030567,5.4191696
B106,Sarl Groupe Cmmc Sétif,Construction company,Ain Arnat,Setif,,0.0,False,False,False,0.0,False,True,36.1362,5.3437814
B107,CFCE SETIF,Air conditioning contractor,Setif,Setif,4.5,40.0,True,False,False,0.0,False,False,36.2019289,5.4241865
B108,inhouse Sétif,Interior architect office,Setif,Setif,5.0,24.0,True,True,False,0.0,False,False,36.2066354,5.4426855
B109,cite 750 logts - sétif,Construction company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,False,36.194717,5.4020206
B110,Sarl Setif Forja,Metal fabricator,Setif,Setif,4.2,5.0,False,True,False,0.0,False,True,36.1833925,5.4258613
B111,SARL CYNABET & Sotrefil,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,True,36.2055366,5.4112852
B112,Promotion Immobilière Baghded - Setif,Real estate developer,Setif,Setif,5.0,3.0,True,True,True,1.0,False,False,36.1791486,5.4112551
B113,GUEZZOUT IMMOBILIER,Real estate developer,Setif,Setif,5.0,7.0,True,True,False,0.0,False,False,36.1939526,5.4241699
B114,cfmoto,Custom home builder,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.1903746,5.4441117
B115,Sarl setif gomme,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,True,36.1796747,5.4266852
B116,SIRIUS SERVICES - ABB PARTENER,Electrical installation service,Setif,Setif,4.3,3.0,False,True,False,0.0,True,False,36.176938,5.4178429
B117,Bureau expert Hammachi Zahir | مكتب الخبير حماشي زهير,Construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.194612,5.4026231
B118,SARL HILLS INDUSTRIES,Construction company,Setif,Setif,,0.0,True,True,False,0.0,False,True,36.2119199,5.4367565
B119,GH Pub & Façades,Construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.2073125,5.4281875
B120,Chrome colortek setif,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,False,36.2033775,5.4305305
B121,Daisy Setif Décoration Boutique,Interior designer,Setif,Setif,4.8,9.0,False,True,False,0.0,False,False,36.1834882,5.4123659
